station_id,date_start,date_end,geo_lon,geo_lat,height,name
772,1947-01-01,1986-04-30,8.1744,48.6957,190,Bühlertal
773,1986-05-01,2004-12-31,8.1799,48.6743,478,Bühlertal-Obertal
781,1988-01-01,1994-03-31,8.6190,51.6126,221,Bühren-Ahden
788,1965-01-01,2020-11-09,8.8584,54.1193,3,Büsum
793,1992-01-01,1994-10-31,7.1098,49.662,530,Buhlenberg
807,1941-01-01,2006-12-31,10.6434,49.745,290,Schlüsselfeld (Kläranlage)
817,1952-10-01,2020-11-09,8.8146,51.0306,293,Burgwald-Bottendorf
829,1979-07-01,1997-08-31,8.5465,50.396,479,Butzbach-Bodenrod
833,1972-05-01,2001-04-30,13.4975,50.6951,615,Neuhausen/Erzgeb.-Rauschenbach (Talsp.)
840,1989-12-01,2020-11-09,12.6114,50.4313,897,Carlsfeld
848,1940-01-01,1978-12-31,10.0726,52.6146,38,Celle (Stadt)
850,1974-08-01,2020-11-09,10.0296,52.5959,39,Celle
851,1948-02-01,1996-04-30,12.6042,49.2504,392,Pemfling-Pitzling
853,1882-01-01,2020-11-09,12.8720,50.7913,418,Chemnitz
856,1998-01-01,2020-11-09,12.5404,47.8843,551,Chieming
863,1890-01-01,2012-03-31,10.3470,51.7904,585,Clausthal-Zellerfeld
865,1960-01-01,1971-02-28,8.0624,52.8441,42,Cloppenburg
867,1947-01-01,2020-11-09,10.9679,50.3066,344,Lautertal-Oberlauter
876,1947-01-01,1988-12-31,13.0096,51.304,314,Collmberg
879,2000-07-01,2003-03-31,14.2833,51.7667,68,Cottbus (Flugplatz)
880,1887-01-01,2020-11-09,14.3168,51.776,69,Cottbus
881,1950-01-01,2003-12-31,10.0979,49.0985,423,Crailsheim-Alexandersreut
888,1965-01-01,1991-12-16,12.3821,50.8149,269,Crimmitschau
891,1946-01-01,2020-11-09,8.7058,53.8713,5,Cuxhaven
896,1963-01-01,2020-11-09,10.8619,51.0778,170,Dachwig
909,1986-01-01,1993-11-30,10.2984,54.0551,54,Damsdorf
917,1995-08-01,2020-11-09,8.6779,49.8809,162,Darmstadt
918,1987-10-01,1995-07-31,8.6240,49.8453,122,Darmstadt (A)
919,1937-02-03,1974-07-31,8.6796,49.8697,169,Darmstadt-Botanischer Garten
920,1949-01-01,1987-09-30,8.5929,49.8564,108,Darmstadt (US-Air-Base)
927,1985-10-01,2000-12-31,6.8279,50.1957,430,Daun
931,1989-08-01,2003-12-31,9.4108,47.8007,708,Deggenhausertal-Azenweiler
948,1947-01-01,1950-12-31,12.2515,51.8512,60,Dessau
950,1985-01-01,1993-02-28,8.9000,51.95,194,Detmold
953,1950-08-01,2020-11-09,7.0542,49.7619,481,Deuselbach
954,1998-01-01,2020-11-09,7.4587,54.1796,0,UFS Deutsche Bucht
963,1952-09-01,2020-11-09,8.3424,52.5881,38,Diepholz
964,1952-01-01,1962-12-31,6.8904,50.0832,413,Dierfeld
965,1948-06-01,1990-06-30,13.4166,51.2401,100,Diesbar-Seußlitz
970,1985-04-01,1999-06-30,10.6734,49.4158,405,Dietenhofen
979,1947-08-01,2020-11-09,8.2672,50.7364,314,Dillenburg
981,1982-05-01,2001-12-31,6.7490,49.3531,193,Dillingen (Saar)
982,1947-05-01,2006-11-30,10.4985,48.5701,420,Dillingen/Donau
983,2006-12-01,2020-11-09,10.5599,48.5562,419,Dillingen/Donau-Fristingen
991,1954-09-01,2020-11-09,13.7087,50.9116,359,Dippoldiswalde-Reinberg
998,1948-01-01,2009-02-01,8.4921,48.7968,696,Dobel
1000,1991-07-01,1997-08-31,11.8454,54.1442,3,"Doberan, Bad-Heiligendamm"
1001,1948-07-01,2020-11-09,13.5747,51.6451,97,Doberlug-Kirchhain
1003,1947-01-01,1966-12-31,13.1167,51.1333,201,Döbeln
1006,1947-11-01,1961-09-30,11.2544,53.1399,15,Dömitz
1010,1987-04-01,2008-09-23,7.3209,52.9732,5,Dörpen (Kläranlage)
1011,1990-10-11,2020-11-09,7.7413,49.6017,442,Dörrmoschel-Felsbergerhof
1013,1980-04-01,2020-11-09,8.1697,47.6026,309,Dogern
1018,1951-01-01,2004-12-31,8.5046,47.9422,677,Donaueschingen
1032,1950-01-01,1999-09-30,7.5345,51.512,120,Dortmund
1035,1993-12-01,2000-11-30,7.6161,51.5206,122,Dortmund-Wickede
1047,1828-01-01,1915-12-31,13.7274,51.0557,112,Dresden (Mitte)
1048,1934-01-01,2020-11-09,13.7543,51.128,227,Dresden-Klotzsche
1050,1949-01-01,2020-11-09,13.8470,51.0221,114,Dresden-Hosterwitz
1051,1936-01-01,2020-11-09,13.7750,51.0248,120,Dresden-Strehlen
1052,1993-05-01,2020-11-09,12.1641,52.2174,80,Drewitz bei Burg
1053,1937-01-01,2003-07-31,9.0445,51.7337,192,"Driburg, Bad"
1066,1963-01-01,1976-12-31,10.2613,51.504,180,Duderstadt
1072,1952-01-01,2020-11-09,8.1929,49.4719,107,"Dürkheim, Bad"
1073,1936-01-01,1952-12-31,8.1797,49.4686,115,"Dürkheim, Bad (Saline)"
1074,1947-04-01,1973-02-28,12.0810,51.3043,103,"Dürrenberg, Bad"
1076,1936-08-01,2008-12-31,8.5343,48.0135,692,"Dürrheim, Bad"
1078,1952-01-01,2020-11-09,6.7686,51.296,37,Düsseldorf
1079,1935-01-01,1996-07-31,6.7574,51.1998,37,Düsseldorf-Südfriedhof
1084,1994-05-01,2007-05-31,6.7026,51.394,31,Duisburg-Friemersheim
1087,1951-01-01,1993-12-31,6.7321,51.4634,21,Duisburg-Laar
1091,1991-01-01,2007-12-31,10.7362,51.2806,258,Ebeleben
1093,1951-01-01,2005-10-31,8.9595,49.4593,131,Eberbach (LUBW)
1102,1987-11-01,2002-12-31,9.5328,48.7201,300,Ebersbach/Fils
1103,1978-01-01,2020-11-09,11.9872,48.1003,592,Ebersberg-Halbing
1106,1947-01-01,1950-12-31,13.7979,52.8239,45,Eberswalde
1107,1963-01-01,2020-11-09,10.4991,49.852,346,Ebrach
1126,1984-04-01,1999-01-30,8.6400,49.96,117,Egelsbach
1130,1972-04-01,2005-01-31,9.3649,54.6282,17,Eggebek
1146,1985-07-01,1987-07-31,8.9121,48.6593,487,Ehningen
1154,1945-01-01,1966-09-30,12.8820,48.3416,470,Eiberg
1161,1955-01-01,2020-11-09,11.2349,48.8777,384,Eichstätt-Landershofen
1163,1976-11-01,2007-02-24,8.8500,54.2667,4,Eidersperrwerk
1169,1976-02-01,1999-09-30,7.5959,47.6288,264,Eimeldingen
1172,1951-01-01,1989-11-30,9.8871,51.8189,123,Einbeck
1182,1947-01-01,2001-05-31,11.5705,51.5029,146,Eisleben-Helfta
1188,1947-01-01,1974-08-31,10.8576,50.7041,518,Elgersburg
1197,1941-01-01,2020-11-09,10.1312,48.9895,460,Ellwangen-Rindelbach
1200,1998-01-01,2020-11-09,9.0105,54.0691,3,Elpersbüttel
1201,1947-07-01,2000-12-31,6.5646,50.9281,85,Elsdorf/Erftkreis
1204,1949-01-01,1965-12-31,8.4612,53.2346,1,Elsfleth
1207,1948-06-01,2020-11-09,12.2742,50.2705,558,"Elster, Bad-Sohl"
1214,1987-11-01,2020-11-09,8.1088,48.2012,431,Elzach-Fisnacht
1219,1947-01-01,1998-03-10,7.1909,53.3449,5,Emden-Nesserland
1221,1950-03-01,1974-12-31,7.2236,53.3707,0,Emden-Wolthusen
1224,1975-11-01,2020-11-09,7.8351,48.1378,201,Emmendingen-Mundingen
1228,2000-07-01,2020-11-09,6.3460,54.1651,0,UFS TW Ems
1229,1947-01-01,1997-03-31,7.6975,50.3324,90,"Ems, Bad"
1238,1951-01-01,1996-09-30,7.4250,50.9884,144,Engelskirchen
1239,1986-08-01,2008-09-22,8.7673,47.8516,540,Engen/Hegau
1243,1976-01-01,1985-09-30,9.3028,48.4734,705,Eningen
1246,2015-08-01,2020-11-09,8.0607,51.8418,104,Ennigerloh-Ostenfelde
1254,1947-07-01,2002-11-30,8.9165,49.1307,210,Eppingen
1255,2002-12-01,2018-12-31,8.8523,49.1664,220,Eppingen-Elsenz
1261,1969-01-01,1992-07-31,11.9440,48.3192,460,Erding
1262,1992-05-17,2020-11-09,11.8134,48.3477,446,München-Flughafen
1266,1964-05-01,2020-11-09,9.3162,54.2992,18,Erfde
1270,1951-01-01,2020-11-09,10.9608,50.9829,316,Erfurt-Weimar
1275,1967-04-01,1980-12-31,13.1398,48.3008,340,Ering
1276,1980-08-01,2002-12-31,9.5392,47.6358,408,Eriskirch-Mariabrunn
1279,1949-01-01,2020-11-09,11.0074,49.6497,268,Möhrendorf-Kleinseebach
1280,1947-04-01,1953-12-31,10.9929,49.5692,280,Erlangen-Bruck
1281,1982-01-01,2001-04-30,10.9729,49.5653,284,Erlangen-Frauenaurach
1287,1991-12-01,2006-08-31,9.2861,49.8589,198,Eschau-Hobbach
1292,1967-01-01,2006-04-30,11.8222,49.7522,470,Eschenbach/Oberpfalz
1297,1947-09-01,2020-11-09,10.0138,51.2041,156,Eschwege
1299,1979-09-01,1999-10-31,7.6085,53.6476,3,Esens
1300,1938-01-01,2020-11-09,8.1565,51.254,351,Eslohe
1303,1935-01-01,2020-11-09,6.9677,51.4041,150,Essen-Bredeney
1327,1937-01-01,2020-11-09,6.7905,50.7119,147,Weilerswist-Lommersum
1329,1936-01-01,2003-12-31,10.5865,54.134,50,Eutin
1332,1966-07-01,2020-11-09,12.7241,48.4832,471,"Falkenberg,Kr.Rottal-Inn"
1339,1971-01-01,2020-11-09,10.1885,52.9157,73,Faßberg
1341,2008-12-01,2011-09-29,11.1500,54.6,0,Fehmarnbelt
1345,1947-03-01,1962-12-31,13.4371,53.3346,92,Feldberg
1346,1945-01-01,2020-11-09,8.0038,47.8749,1490,Feldberg/Schwarzwald
1347,1980-02-01,1987-01-31,8.1155,47.8555,962,Feldberg-Altglashütten
1357,1948-01-01,2020-11-09,11.8376,49.9807,654,Fichtelberg/Oberfranken-Hüttstadl
1358,1890-08-01,2020-11-09,12.9535,50.4283,1213,Fichtelberg
1359,1982-01-01,1992-11-26,11.2219,50.0242,705,Fichtelberg/Ofr
1372,1992-01-01,2002-10-31,10.2696,47.4608,757,Fischen
1374,1949-01-12,1972-04-30,10.1668,50.505,366,Fladungen-Heufurt
1378,1985-07-01,2006-12-31,9.4182,54.8086,45,Flensburg
1379,1957-01-01,2020-11-09,9.3752,54.7737,41,Flensburg (Schäferhaus)
1380,1941-01-01,1956-12-31,9.4580,54.8147,19,Flensburg-Mürwik
1392,1987-10-01,2006-12-31,12.3489,49.7316,621,Flossenbürg
1403,1965-04-01,1980-10-31,9.4550,50.0616,260,Frammersbach
1410,1975-01-01,1997-03-31,11.0958,51.3512,130,"Frankenhausen/Kyffhäuser, Bad"
1411,1949-10-01,2020-11-09,10.0480,50.5309,745,Birx/Rhön
1415,1976-06-01,1988-12-31,8.5333,50.0333,100,Frankfurt (07W)
1416,1984-04-01,1987-12-31,8.5333,50.0167,97,Frankfurt (18W)
1420,1949-01-01,2020-11-09,8.5213,50.0259,100,Frankfurt/Main
1421,1961-12-01,1984-08-31,8.6746,50.1474,125,Frankfurt/Main (Stadt)
1422,1973-08-01,1989-04-30,8.6936,50.0972,114,Frankfurt (Henninger Turm)
1423,1972-05-01,1987-12-31,8.5887,50.0496,111,Frankfurt/Main (Terminal)
1424,1985-11-01,2020-11-09,8.6694,50.1269,124,Frankfurt/Main-Westend
1425,1870-01-01,1962-12-31,8.6601,50.1213,109,Frankfurt/Main (Feldbergstr.)
1426,1947-01-01,1984-12-31,14.5080,52.3397,65,Frankfurt/Oder
1428,1948-01-01,1957-12-31,8.0585,49.2275,230,Frankweiler
1440,1971-05-01,2003-12-31,7.9336,48.2018,481,Freiamt-Ottoschwanden
1441,1945-07-01,1993-04-30,13.2711,50.9263,416,Freiberg
1443,1874-01-01,2020-11-09,7.8343,48.0232,237,Freiburg
1447,1947-01-01,1985-06-30,7.8588,48.013,255,Freiburg im Breisgau-Herdern
1451,1970-11-01,2020-11-09,9.2493,53.8277,2,Freiburg/Elbe
1467,1948-01-01,2009-12-31,8.4141,48.4607,736,Freudenstadt-Kurgarten
1468,1949-01-01,2020-11-09,8.4090,48.4538,797,Freudenstadt
1473,2006-01-01,2019-02-28,11.3080,49.1869,414,Freystadt-Michelbach
1481,1971-01-01,1998-12-31,8.2547,47.9216,928,Friedenweiler
1488,1947-01-01,1972-12-31,11.0394,51.6884,523,Friedrichsbrunn
1490,1947-01-01,2020-11-09,9.4795,47.6454,394,Friedrichshafen
1492,1958-01-01,2003-12-31,7.7348,47.7819,852,Malsburg-Marzell-Friedrichsheim
1493,1992-07-01,1995-12-31,11.0159,50.4788,793,Friedrichshöhe
1503,1947-02-01,2020-11-09,7.9022,53.0643,6,Friesoythe-Altenoythe
1504,2000-07-01,2020-11-09,9.2799,51.119,172,Fritzlar (Flugplatz)
1505,1975-01-01,2007-10-31,9.2833,51.1333,222,Fritzlar-Kasseler Warte
1513,1947-01-01,1962-11-30,8.1027,50.6588,653,Fuchskauten
1515,1969-01-01,2003-07-31,11.2667,48.2,519,Fürstenfeldbruck
1522,1947-06-01,1955-03-31,10.9640,49.4811,313,Fürth/Bayern (A)
1526,1949-01-01,2020-11-09,9.6533,50.5668,242,Fulda-Horas
1544,1947-01-01,2020-11-09,11.3941,52.5129,47,Gardelegen
1550,1936-01-01,2020-11-09,11.0621,47.483,719,Garmisch-Partenkirchen
1552,1995-11-01,1996-04-30,14.3817,53.2066,13,Gartz/Oder
1568,1958-05-01,1982-12-31,10.7743,50.6549,916,Gehlberg-Schmücke
1572,1982-12-01,2020-11-09,6.0392,50.9593,80,Geilenkirchen (Flugplatz)
1580,1884-07-01,2020-11-09,7.9548,49.9859,110,Geisenheim
1583,1947-01-01,1970-12-31,13.7732,50.7719,823,Geisingberg
1584,2009-06-01,2020-11-09,8.6473,47.9242,672,Geisingen
1586,1961-07-01,1968-04-30,12.6279,47.8774,610,Traunstein-Geißing
1587,1998-01-01,2020-11-09,11.4289,48.9481,536,Gelbelsee
